Time,VCC1_VOLTAGE,CONTROLLER_TEMPERATURE,VCC2_CURRENT,VCC1_CURRENT,VCC2_VOLTAGE,VCC3_CURRENT,VCC3_VOLTAGE,BATTERY2_VOLTAGE,SUN_X,SUN_Z,BATTERY2_CURRENT,BATTERY1_CURRENT,BATTERY_TEMPERATURE,BATTERY1_VOLTAGE
01/15/22 12:11:00PM,2.052,8.81,386,10,1.74,0,1.668,4.122,0,0,0,-55,6.68,4.5
01/15/22 12:12:00PM,2.04,9.18,217,28,1.812,0,1.788,4.122,0,0,0,30,7.12,4.536
01/15/22 12:41:00PM,0.036,11.93,0,0,0.024,0,0.036,4.086,0,0,0,-53,10.56,4.536
01/15/22 01:21:00PM,1.74,-1.43,176,1,1.98,0,1.68,4.104,0,0,0,42,-8.56,4.464
01/15/22 01:44:00PM,2.028,4.18,158,12,2.184,1,1.896,4.554,0,0,0,-155,3.25,0.018
01/15/22 02:27:00PM,0.012,8.37,0,0,0,0,0,4.068,0,0,0,-226,-0.68,4.212
01/15/22 02:36:00PM,0.024,4,0,0,0.012,0,0.024,4.068,0,0,0,-213,-7.06,4.122
01/15/22 02:57:00PM,1.8,-1.37,121,87,2.04,0,1.944,4.14,0,0,0,195,-8.43,0.072
01/15/22 03:00:00PM,2.16,-7.68,97,466,2.376,1,2.184,4.518,0,0,0,303,-9.81,0.324
01/15/22 03:03:00PM,2.004,-6.06,296,17,2.196,1,1.836,4.5,0,0,0,88,-7.81,4.554
01/15/22 03:08:00PM,1.884,-2.93,90,37,1.824,1,1.764,4.482,0,0,0,171,-3.93,4.572
01/15/22 03:59:00PM,0,9.68,0,0,0,1,0,4.482,0,0,0,-226,3.5,4.122
01/15/22 04:38:00PM,2.28,-4.43,470,16,1.872,1,1.728,4.482,0,0,0,270,-6,0.144,2.292,-4.87,167,220,2.268,1,1.992,4.464,0,0,0,125,-6.62,0.036
01/15/22 04:42:00PM,2.136,-2.37,123,175,2.088,1,1.644,4.446,0,0,0,47,-3.5,4.5
01/15/22 06:14:00PM,1.92,-3.43,128,278,2.448,1,1.992,4.482,0,0,0,368,-5.87,0.234
01/15/22 06:15:00PM,2.064,-2.75,132,113,1.956,1,1.872,4.41,0,0,0,205,-5,0.018
01/15/22 08:56:00PM,0.012,4.75,0,0,0.012,1,0,4.392,0,0,0,-218,-5.43,3.996
01/15/22 10:28:00PM,0.012,6.81,0,0,0.012,1,0.012,4.41,0,0,0,-221,-2.5,4.032
01/16/22 02:12:00AM,0.084,-2.43,150,177,3.06,21,1.416,4.41,0,0,0,-177,-4.93,4.248
01/16/22 03:07:00AM,0.036,9.18,0,0,0.012,1,0.036,4.392,0,0,0,-222,2.37,4.068
01/16/22 03:12:00AM,0.048,7.43,0,0,0.024,1,0.036,4.392,0,0,0,-221,-1.31,4.014
01/16/22 03:16:00AM,0.024,5.93,0,0,0.024,1,0.012,4.392,0,0,0,-218,-3.68,3.996
01/16/22 03:18:00AM,0,4.87,0,0,0.012,1,0.024,4.392,0,0,0,-218,-5.12,3.978
01/16/22 03:21:00AM,0.012,3.12,0,0,0.012,1,0.012,4.392,0,0,0,-216,-7.31,3.942
01/16/22 04:53:00AM,0,5.31,0,0,0,1,0.012,4.374,0,0,0,-220,-4.37,3.996
