cnt,id,gs_time,fossaIdx,rssi,packet_snr
576,8961,1675643858843.00,FO012,-87,-18
577,8962,1675643891572.00,FO012,-87,-19
578,8963,1675643924250.00,FO012,-87,-17.5
579,8964,1675644037291.00,FO012,-84,-22
580,8965,1675644165372.00,FO012,-87,-20
581,8966,1675644311165.00,FO012,-87,-16
582,8967,1675644518044.00,FO011,-81,-14
583,8968,1675644838209.00,FO008,-87,-18.5
584,8969,1675644843707.00,FO008,-76,-16.5
585,8970,1675644847059.00,FO008,-86,-20
586,8971,1675644853152.00,FO008,-85,-19
587,8972,1675644855180.00,FO008,-86,-19.5
588,8973,1675644856978.00,FO008,-86,-19
589,8974,1675644863274.00,FO008,-86,-20.5
590,8975,1675644865077.00,FO008,-85,-20.5
591,8976,1675644869370.00,FO008,-85,-21
592,8977,1675644871172.00,FO008,-85,-20.5
593,8978,1675644873433.00,FO008,-86,-21
594,8979,1675644877258.00,FO008,-85,-21
595,8980,1675644879519.00,FO008,-85,-19.5
596,8981,1675644881551.00,FO008,-85,-19
597,8982,1675644887646.00,FO008,-85,-18.5
598,8983,1675644889449.00,FO008,-85,-18.5
599,8984,1675644895534.00,FO008,-86,-19
600,8985,1675644897795.00,FO008,-86,-20
601,8986,1675644905644.00,FO008,-85,-20
602,8987,1675644907902.00,FO008,-85,-20
603,8988,1675644911738.00,FO008,-86,-20
604,8989,1675644913995.00,FO008,-85,-19.5
605,8990,1675644916022.00,FO008,-85,-19
606,8991,1675644920088.00,FO008,-85,-19
607,8992,1675644922116.00,FO008,-85,-19.5
608,8993,1675644923914.00,FO008,-84,-20
609,8994,1675644930008.00,FO008,-86,-20
610,8995,1675644932265.00,FO008,-85,-20.5
611,8996,1675644938358.00,FO008,-85,-21
612,8997,1675644940387.00,FO008,-85,-20.5
613,8998,1675644942195.00,FO008,-86,-20.5
614,8999,1675644946479.00,FO008,-85,-20.5
615,9000,1675644948287.00,FO008,-85,-20.5
616,9001,1675644950538.00,FO008,-85,-20.5
617,9002,1675644954373.00,FO008,-85,-20.5
618,9003,1675644956633.00,FO008,-85,-21
619,9004,1675644958666.00,FO008,-85,-21.5
620,9005,1675644962729.00,FO008,-84,-22
621,9006,1675644964761.00,FO008,-84,-22
622,9007,1675644966553.00,FO008,-84,-22
623,9008,1675644972828.00,FO008,-84,-22
624,9009,1675644974950.00,FO008,-84,-21
625,9010,1675645022871.00,FO008,-76,-19
626,9011,1675645025170.00,FO008,-82,-21.5
627,9012,1675645027198.00,FO008,-84,-22
628,9013,1675645031264.00,FO008,-82,-23
629,9014,1675645033301.00,FO008,-83,-22.5
630,9015,1675645035099.00,FO008,-82,-23
631,9016,1675645041194.00,FO008,-80,-24
632,9017,1675645043451.00,FO008,-80,-24
633,9018,1675645049544.00,FO008,-84,-22
634,9019,1675645051572.00,FO008,-84,-21.5
635,9020,1675645053380.00,FO008,-82,-23
636,9021,1675645057666.00,FO008,-85,-20.5
637,9022,1675645059464.00,FO008,-84,-20
638,9023,1675645061731.00,FO008,-83,-22.5
639,9024,1675645065558.00,FO008,-83,-22.5
640,9025,1675645067825.00,FO008,-82,-23
641,9026,1675645069853.00,FO008,-80,-24
642,9027,1675645073909.00,FO008,-80,-24
643,9028,1675645075946.00,FO008,-80,-24
644,9029,1675645077745.00,FO008,-80,-24
645,9030,1675645082030.00,FO008,-84,-21
646,9031,1675645083838.00,FO008,-80,-24
647,9032,1675645086095.00,FO008,-86,-17
648,9033,1675645092182.00,FO008,-86,-15.5
649,9034,1675645094214.00,FO008,-85,-15
650,9035,1675645106406.00,FO008,-85,-19
651,9036,1675645112212.00,FO008,-85,-21.5
652,9037,1675645114480.00,FO008,-83,-22
653,9038,1675645120563.00,FO008,-85,-13.5
654,9039,1675645122602.00,FO008,-84,-16.5
655,9040,1675649475013.00,FO012,-86,-10
656,9041,1675649517789.00,FO012,-86,-13.5
657,9042,1675649561215.00,FO012,-87,-14.5
658,9043,1675649565548.00,FO012,-88,-15.5
659,9044,1675649569912.00,FO012,-87,-15
660,9045,1675649573454.00,FO012,-89,-14.5
661,9046,1675649577839.00,FO012,-89,-15
662,9047,1675649584813.00,FO012,-90,-15.5
663,9048,1675649594171.00,FO012,-90,-14
664,9049,1675649621678.00,FO012,-88,-16.5
665,9050,1675649658608.00,FO012,-85,-20
666,9051,1675649671416.00,FO012,-87,-18.5
667,9052,1675649689645.00,FO012,-89,-18
668,9053,1675649776763.00,FO012,-85,-20
669,9054,1675649828189.00,FO012,-87,-18.5
670,9055,1675649846270.00,FO012,-87,-17.5
671,9056,1675649922870.00,FO012,-81,-18
672,9057,1675649962754.00,FO012,-84,-11
673,9058,1675650362172.00,FO011,-83,-11.5
674,9059,1675650653356.00,FO008,-87,-17
675,9060,1675686443502.00,FO008,-87,-17.5
676,9061,1675686463644.00,FO008,-87,-16
677,9062,1675686513903.00,FO008,-86,-18.5
678,9063,1675686650617.00,FO008,-87,-17.5
679,9064,1675686678755.00,FO008,-86,-13.5
680,9065,1675690987928.00,FO012,-86,-20.5
681,9066,1675691314710.00,FO012,-87,-17.5
682,9067,1675691390086.00,FO012,-87,-15.5
683,9068,1675691606954.00,FO011,-85,-13.5
684,9069,1675696566998.00,FO012,-84,-13
685,9070,1675696732741.00,FO012,-85,-20
